#Table1
ra,z
188.75916,0.02279919
49.334107,0.02280226
50.71354,0.02282129
50.696777,0.02283079
312.7653,0.02283479
189.96873,0.02283781
49.360435,0.02287035
358.5514,0.02289375
358.06602,0.02294785
41.318565,0.02296962
187.11303,0.0229938
49.517588,0.02299402
50.72839,0.02304068
358.67696,0.02304219
46.152372,0.02304831
50.695108,0.02304882
88.990392,0.0230957
46.14474,0.02309927
49.228809,0.02311054
41.519526,0.02312677
187.47658,0.02315128
49.465822,0.02315703
222.84758,0.02316491
186.85429,0.02330861
156.05909,0.02332667
354.92187,0.02333465
358.61677,0.02334436
221.83671,0.02337876
53.100034,0.02337985
47.483217,0.02343823
354.81472,0.02345084
140.28622,0.02351408
208.10125,0.02351624
313.63874,0.02365065
358.79776,0.0236521
0.0325982,0.02366391
314.48081,0.02366865
359.1025,0.02373452
0.0185,0.02376629
248.99151,0.02378366
216.9871,0.02391719
315.14938,0.02393436
53.018291,0.02405307
242.94403,0.02408826
242.92202,0.02408831
29.060624,0.02409592
242.89881,0.02424059
243.09821,0.02425634
21.184101,0.02451071
312.0226,0.02451416
249.30572,0.0246454
42.198415,0.02467235
312.02361,0.02469175
41.84637,0.02478181
311.8426,0.02480844
183.87771,0.02481925
51.111282,0.02482984
21.610868,0.02487072
141.44045,0.02491116
211.71692,0.02491612
170.18835,0.02493797
170.20667,0.02501661
212.13171,0.02506297
167.09645,0.02507843
30.392093,0.02509696
205.53276,0.02519036
350.34107,0.0252639
170.23778,0.02532525
170.23905,0.02535571
211.27456,0.02539324
34.055436,0.02544302
33.348251,0.0254947
231.04679,0.02550551
54.759645,0.02552061
211.99219,0.02552348
172.24346,0.02562819
34.056061,0.02566743
140.62656,0.02568343
346.86672,0.0257586
35.316851,0.02580092
43.409592,0.02586854
43.6505,0.02590156
36.802487,0.02591202
346.86677,0.02595733
36.803213,0.02604644
163.98727,0.02609216
229.77433,0.02610012
331.5965,0.0261282
359.20331,0.02617705
34.767589,0.02620441
22.126079,0.02625466
161.3251,0.02626263
22.126264,0.02629647
47.888143,0.0264602
324.12711,0.02646474
23.995553,0.02655337
22.128073,0.0265814
218.64912,0.0266113
355.97976,0.02662516
328.84473,0.02670212
47.506175,0.0267978
310.37277,0.02693595
43.651394,0.02700773
311.71193,0.02703459
329.08063,0.02705572
43.502705,0.02711671
347.89042,0.02713145
248.55046,0.02716346
329.07925,0.02720126
245.38187,0.02728706
351.28356,0.02735275
240.98091,0.02736092
168.84205,0.02736283
43.601033,0.02737205
354.33543,0.02750021
328.39658,0.02750437
328.42795,0.02750482
40.935741,0.02755564
43.41685,0.02755906
339.48735,0.02758766
43.193511,0.02767744
328.25208,0.02768772
328.72131,0.02769361
21.158719,0.02769923
314.30608,0.02770051
42.563067,0.02770864
328.25148,0.02772636
348.13378,0.02776077
29.759623,0.02780183
