Description	
Number of Runs	1000
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
343	900	11	1	02/03/23 03:51:11 PM	
344	900	8	1	02/03/23 03:51:12 PM	
345	900	8	1	02/03/23 03:51:13 PM	
346	900	12	1	02/03/23 03:51:14 PM	
347	900	11	1	02/03/23 03:51:15 PM	
348	900	11	1	02/03/23 03:51:17 PM	
349	900	13	1	02/03/23 03:51:18 PM	
350	900	8	1	02/03/23 03:51:19 PM	
351	900	6	1	02/03/23 03:51:20 PM	
352	900	12	1	02/03/23 03:51:21 PM	
353	900	11	1	02/03/23 03:51:22 PM	
354	900	10	1	02/03/23 03:51:23 PM	
355	900	8	1	02/03/23 03:51:24 PM	
356	900	16	1	02/03/23 03:51:25 PM	
357	900	9	1	02/03/23 03:51:26 PM	
358	900	16	1	02/03/23 03:51:28 PM	
359	900	6	1	02/03/23 03:51:29 PM	
360	900	8	1	02/03/23 03:51:30 PM	
361	900	11	1	02/03/23 03:51:31 PM	
362	900	10	1	02/03/23 03:51:32 PM	
363	900	12	1	02/03/23 03:51:33 PM	
364	900	4	1	02/03/23 03:51:34 PM	
365	900	10	1	02/03/23 03:51:35 PM	
366	900	16	1	02/03/23 03:51:36 PM	
367	900	5	1	02/03/23 03:51:38 PM	
368	900	10	1	02/03/23 03:51:39 PM	
369	900	4	1	02/03/23 03:51:40 PM	
370	900	8	1	02/03/23 03:51:41 PM	
371	900	8	1	02/03/23 03:51:42 PM	
372	900	17	1	02/03/23 03:51:43 PM	
373	900	8	1	02/03/23 03:51:44 PM	
374	900	11	1	02/03/23 03:51:46 PM	
375	900	11	1	02/03/23 03:51:47 PM	
376	900	7	1	02/03/23 03:51:48 PM	
377	900	4	1	02/03/23 03:51:49 PM	
378	900	8	1	02/03/23 03:51:50 PM	
379	900	6	1	02/03/23 03:51:51 PM	
380	900	12	1	02/03/23 03:51:52 PM	
381	900	3	1	02/03/23 03:51:53 PM	
382	900	8	1	02/03/23 03:51:54 PM	
383	900	9	1	02/03/23 03:51:56 PM	
384	900	10	1	02/03/23 03:51:57 PM	
385	900	5	1	02/03/23 03:51:58 PM	
386	900	8	1	02/03/23 03:51:59 PM	
387	900	8	1	02/03/23 03:52:00 PM	
388	900	10	1	02/03/23 03:52:01 PM	
389	900	13	1	02/03/23 03:52:02 PM	
390	900	6	1	02/03/23 03:52:03 PM	
391	900	8	1	02/03/23 03:52:05 PM	
392	900	12	1	02/03/23 03:52:06 PM	
393	900	9	1	02/03/23 03:52:07 PM	
394	900	8	1	02/03/23 03:52:08 PM	
395	900	7	1	02/03/23 03:52:09 PM	
396	900	14	1	02/03/23 03:52:10 PM	
397	900	8	1	02/03/23 03:52:11 PM	
398	900	11	1	02/03/23 03:52:12 PM	
399	900	12	1	02/03/23 03:52:13 PM	
400	900	8	1	02/03/23 03:52:15 PM	
401	900	10	1	02/03/23 03:52:16 PM	
402	900	9	1	02/03/23 03:52:17 PM	
403	900	8	1	02/03/23 03:52:18 PM	
404	900	11	1	02/03/23 03:52:19 PM	
405	900	2	1	02/03/23 03:52:20 PM	
406	900	13	1	02/03/23 03:52:21 PM	
407	900	5	1	02/03/23 03:52:23 PM	
408	900	8	1	02/03/23 03:52:24 PM	
409	900	7	1	02/03/23 03:52:25 PM	
410	900	15	1	02/03/23 03:52:26 PM	
411	900	11	1	02/03/23 03:52:27 PM	
412	900	4	1	02/03/23 03:52:28 PM	
413	900	14	1	02/03/23 03:52:29 PM	
414	900	11	1	02/03/23 03:52:31 PM	
415	900	6	1	02/03/23 03:52:32 PM	
416	900	9	1	02/03/23 03:52:33 PM	
417	900	14	1	02/03/23 03:52:34 PM	
418	900	15	1	02/03/23 03:52:35 PM	
419	900	8	1	02/03/23 03:52:36 PM	
420	900	10	1	02/03/23 03:52:37 PM	
421	900	18	1	02/03/23 03:52:38 PM	
422	900	6	1	02/03/23 03:52:39 PM	
423	900	15	1	02/03/23 03:52:40 PM	
424	900	10	1	02/03/23 03:52:42 PM	
425	900	8	1	02/03/23 03:52:43 PM	
426	900	10	1	02/03/23 03:52:44 PM	
427	900	11	1	02/03/23 03:52:45 PM	
428	900	7	1	02/03/23 03:52:46 PM	
429	900	6	1	02/03/23 03:52:47 PM	
430	900	10	1	02/03/23 03:52:48 PM	
431	900	10	1	02/03/23 03:52:49 PM	
432	900	9	1	02/03/23 03:52:50 PM	
433	900	9	1	02/03/23 03:52:52 PM	
434	900	13	1	02/03/23 03:52:53 PM	
435	900	10	1	02/03/23 03:52:54 PM	
436	900	10	1	02/03/23 03:52:55 PM	
437	900	10	1	02/03/23 03:52:56 PM	
438	900	16	1	02/03/23 03:52:57 PM	
439	900	14	1	02/03/23 03:52:58 PM	
440	900	8	1	02/03/23 03:52:59 PM	
441	900	10	1	02/03/23 03:53:00 PM	
442	900	12	1	02/03/23 03:53:02 PM	
443	900	7	1	02/03/23 03:53:03 PM	
444	900	6	1	02/03/23 03:53:04 PM	
445	900	10	1	02/03/23 03:53:05 PM	
446	900	12	1	02/03/23 03:53:06 PM	
447	900	10	1	02/03/23 03:53:07 PM	
448	900	5	1	02/03/23 03:53:08 PM	
449	900	5	1	02/03/23 03:53:10 PM	
450	900	13	1	02/03/23 03:53:11 PM	
451	900	8	1	02/03/23 03:53:12 PM	
452	900	12	1	02/03/23 03:53:13 PM	
453	900	12	1	02/03/23 03:53:14 PM	
454	900	6	1	02/03/23 03:53:15 PM	
455	900	13	1	02/03/23 03:53:16 PM	
456	900	8	1	02/03/23 03:53:17 PM	
457	900	10	1	02/03/23 03:53:18 PM	
458	900	10	1	02/03/23 03:53:19 PM	
459	900	9	1	02/03/23 03:53:21 PM	
460	900	6	1	02/03/23 03:53:22 PM	
461	900	8	1	02/03/23 03:53:23 PM	
462	900	13	1	02/03/23 03:53:24 PM	
463	900	11	1	02/03/23 03:53:25 PM	
464	900	12	1	02/03/23 03:53:26 PM	
465	900	7	1	02/03/23 03:53:27 PM	
466	900	10	1	02/03/23 03:53:28 PM	
467	900	7	1	02/03/23 03:53:30 PM	
468	900	9	1	02/03/23 03:53:31 PM	
469	900	12	1	02/03/23 03:53:32 PM	
470	900	11	1	02/03/23 03:53:33 PM	
471	900	8	1	02/03/23 03:53:34 PM	
472	900	9	1	02/03/23 03:53:35 PM	
473	900	7	1	02/03/23 03:53:36 PM	
474	900	4	1	02/03/23 03:53:37 PM	
475	900	9	1	02/03/23 03:53:39 PM	
476	900	8	1	02/03/23 03:53:40 PM	
477	900	12	1	02/03/23 03:53:41 PM	
478	900	12	1	02/03/23 03:53:42 PM	
479	900	13	1	02/03/23 03:53:43 PM	
480	900	11	1	02/03/23 03:53:44 PM	
481	900	5	1	02/03/23 03:53:45 PM	
482	900	6	1	02/03/23 03:53:46 PM	
483	900	11	1	02/03/23 03:53:48 PM	
484	900	5	1	02/03/23 03:53:49 PM	
485	900	13	1	02/03/23 03:53:50 PM	
486	900	6	1	02/03/23 03:53:51 PM	
487	900	10	1	02/03/23 03:53:52 PM	
488	900	17	1	02/03/23 03:53:53 PM	
489	900	8	1	02/03/23 03:53:54 PM	
490	900	7	1	02/03/23 03:53:55 PM	
491	900	11	1	02/03/23 03:53:56 PM	
492	900	14	1	02/03/23 03:53:57 PM	
493	900	15	1	02/03/23 03:53:59 PM	
494	900	7	1	02/03/23 03:54:00 PM	
495	900	8	1	02/03/23 03:54:01 PM	
496	900	9	1	02/03/23 03:54:02 PM	
497	900	9	1	02/03/23 03:54:03 PM	
498	900	11	1	02/03/23 03:54:04 PM	
499	900	8	1	02/03/23 03:54:05 PM	
500	900	6	1	02/03/23 03:54:06 PM	
501	900	9	1	02/03/23 03:54:08 PM	
502	900	14	1	02/03/23 03:54:09 PM	
