Description	
Number of Runs	1000
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
229	900	0	1	02/03/23 02:58:48 PM	
230	900	0	1	02/03/23 02:58:49 PM	
231	900	1	1	02/03/23 02:58:50 PM	
232	900	0	1	02/03/23 02:58:51 PM	
233	900	3	1	02/03/23 02:58:52 PM	
234	900	0	1	02/03/23 02:58:53 PM	
235	900	1	1	02/03/23 02:58:55 PM	
236	900	0	1	02/03/23 02:58:56 PM	
237	900	0	1	02/03/23 02:58:57 PM	
238	900	0	1	02/03/23 02:58:58 PM	
239	900	1	1	02/03/23 02:58:59 PM	
240	900	1	1	02/03/23 02:59:00 PM	
241	900	0	1	02/03/23 02:59:01 PM	
242	900	1	1	02/03/23 02:59:02 PM	
243	900	0	1	02/03/23 02:59:03 PM	
244	900	0	1	02/03/23 02:59:05 PM	
245	900	1	1	02/03/23 02:59:06 PM	
246	900	0	1	02/03/23 02:59:07 PM	
247	900	0	1	02/03/23 02:59:08 PM	
248	900	1	1	02/03/23 02:59:09 PM	
249	900	1	1	02/03/23 02:59:10 PM	
250	900	0	1	02/03/23 02:59:11 PM	
251	900	0	1	02/03/23 02:59:12 PM	
252	900	0	1	02/03/23 02:59:14 PM	
253	900	1	1	02/03/23 02:59:15 PM	
254	900	0	1	02/03/23 02:59:16 PM	
255	900	1	1	02/03/23 02:59:17 PM	
256	900	2	1	02/03/23 02:59:18 PM	
257	900	1	1	02/03/23 02:59:19 PM	
258	900	0	1	02/03/23 02:59:20 PM	
259	900	0	1	02/03/23 02:59:21 PM	
260	900	1	1	02/03/23 02:59:22 PM	
261	900	0	1	02/03/23 02:59:23 PM	
262	900	1	1	02/03/23 02:59:25 PM	
263	900	0	1	02/03/23 02:59:26 PM	
264	900	1	1	02/03/23 02:59:27 PM	
265	900	0	1	02/03/23 02:59:28 PM	
266	900	0	1	02/03/23 02:59:29 PM	
267	900	0	1	02/03/23 02:59:30 PM	
268	900	1	1	02/03/23 02:59:31 PM	
269	900	1	1	02/03/23 02:59:32 PM	
270	900	1	1	02/03/23 02:59:33 PM	
271	900	0	1	02/03/23 02:59:35 PM	
272	900	0	1	02/03/23 02:59:36 PM	
273	900	0	1	02/03/23 02:59:37 PM	
274	900	1	1	02/03/23 02:59:38 PM	
275	900	0	1	02/03/23 02:59:39 PM	
276	900	0	1	02/03/23 02:59:40 PM	
277	900	0	1	02/03/23 02:59:41 PM	
278	900	0	1	02/03/23 02:59:42 PM	
279	900	0	1	02/03/23 02:59:43 PM	
280	900	1	1	02/03/23 02:59:45 PM	
281	900	0	1	02/03/23 02:59:46 PM	
282	900	0	1	02/03/23 02:59:47 PM	
283	900	0	1	02/03/23 02:59:48 PM	
284	900	0	1	02/03/23 02:59:49 PM	
285	900	1	1	02/03/23 02:59:50 PM	
286	900	0	1	02/03/23 02:59:51 PM	
287	900	0	1	02/03/23 02:59:53 PM	
288	900	1	1	02/03/23 02:59:54 PM	
289	900	0	1	02/03/23 02:59:55 PM	
290	900	1	1	02/03/23 02:59:56 PM	
291	900	0	1	02/03/23 02:59:57 PM	
292	900	0	1	02/03/23 02:59:58 PM	
293	900	0	1	02/03/23 02:59:59 PM	
294	900	0	1	02/03/23 03:00:01 PM	
295	900	0	1	02/03/23 03:00:02 PM	
296	900	1	1	02/03/23 03:00:03 PM	
297	900	2	1	02/03/23 03:00:04 PM	
298	900	0	1	02/03/23 03:00:05 PM	
299	900	0	1	02/03/23 03:00:06 PM	
300	900	0	1	02/03/23 03:00:07 PM	
301	900	0	1	02/03/23 03:00:08 PM	
302	900	1	1	02/03/23 03:00:10 PM	
303	900	0	1	02/03/23 03:00:11 PM	
304	900	0	1	02/03/23 03:00:12 PM	
305	900	0	1	02/03/23 03:00:13 PM	
306	900	0	1	02/03/23 03:00:14 PM	
307	900	0	1	02/03/23 03:00:15 PM	
308	900	0	1	02/03/23 03:00:16 PM	
309	900	2	1	02/03/23 03:00:17 PM	
310	900	0	1	02/03/23 03:00:19 PM	
311	900	0	1	02/03/23 03:00:20 PM	
312	900	1	1	02/03/23 03:00:21 PM	
313	900	0	1	02/03/23 03:00:22 PM	
314	900	0	1	02/03/23 03:00:23 PM	
315	900	1	1	02/03/23 03:00:24 PM	
316	900	1	1	02/03/23 03:00:25 PM	
317	900	0	1	02/03/23 03:00:26 PM	
318	900	3	1	02/03/23 03:00:27 PM	
319	900	0	1	02/03/23 03:00:29 PM	
320	900	0	1	02/03/23 03:00:30 PM	
321	900	0	1	02/03/23 03:00:31 PM	
322	900	0	1	02/03/23 03:00:32 PM	
323	900	0	1	02/03/23 03:00:33 PM	
324	900	0	1	02/03/23 03:00:34 PM	
325	900	0	1	02/03/23 03:00:35 PM	
326	900	0	1	02/03/23 03:00:37 PM	
327	900	1	1	02/03/23 03:00:38 PM	
328	900	0	1	02/03/23 03:00:39 PM	
329	900	0	1	02/03/23 03:00:40 PM	
330	900	0	1	02/03/23 03:00:41 PM	
331	900	1	1	02/03/23 03:00:42 PM	
332	900	0	1	02/03/23 03:00:43 PM	
333	900	0	1	02/03/23 03:00:44 PM	
334	900	0	1	02/03/23 03:00:46 PM	
335	900	0	1	02/03/23 03:00:47 PM	
336	900	0	1	02/03/23 03:00:48 PM	
337	900	0	1	02/03/23 03:00:49 PM	
338	900	0	1	02/03/23 03:00:50 PM	
339	900	0	1	02/03/23 03:00:51 PM	
340	900	1	1	02/03/23 03:00:52 PM	
341	900	2	1	02/03/23 03:00:53 PM	
342	900	1	1	02/03/23 03:00:55 PM	
343	900	0	1	02/03/23 03:00:56 PM	
344	900	0	1	02/03/23 03:00:57 PM	
345	900	0	1	02/03/23 03:00:58 PM	
346	900	0	1	02/03/23 03:00:59 PM	
347	900	0	1	02/03/23 03:01:00 PM	
348	900	0	1	02/03/23 03:01:01 PM	
349	900	0	1	02/03/23 03:01:02 PM	
350	900	1	1	02/03/23 03:01:04 PM	
351	900	0	1	02/03/23 03:01:05 PM	
352	900	0	1	02/03/23 03:01:06 PM	
353	900	0	1	02/03/23 03:01:07 PM	
354	900	0	1	02/03/23 03:01:08 PM	
355	900	1	1	02/03/23 03:01:09 PM	
356	900	0	1	02/03/23 03:01:10 PM	
357	900	0	1	02/03/23 03:01:11 PM	
358	900	0	1	02/03/23 03:01:12 PM	
359	900	0	1	02/03/23 03:01:13 PM	
360	900	0	1	02/03/23 03:01:15 PM	
361	900	0	1	02/03/23 03:01:16 PM	
362	900	1	1	02/03/23 03:01:17 PM	
363	900	1	1	02/03/23 03:01:18 PM	
364	900	0	1	02/03/23 03:01:19 PM	
