#Table1
ra,dec,z
53.794334,-0.079095,0.001024507
127.31906,3.405907,0.001024525
134.01826,12.677457,0.001024533
28.87293,2.6503672,0.001024545
128.13187,58.54349,0.001024559
130.65946,14.23686,0.001024589
153.07484,-0.64222815,0.001024596
171.01138,21.877046,0.001024627
62.575416,-5.0353762,0.001024701
120.87738,6.77005,0.001024725
126.85087,19.09822,0.001024758
246.80556,13.59016,0.001024813
170.44079,-11.783076,0.001024833
189.50556,-0.777225,0.001024845
135.16145,4.6383968,0.001024864
164.47758,4.4354692,0.001024886
191.33687,6.1297299,0.001024926
113.73784,33.114275,0.001024948
137.26313,-2.5054393,0.001024974
146.64577,32.149555,0.001024985
115.19325,38.918637,0.001025011
149.09515,27.928526,0.001025019
166.58486,2.0991565,0.00102502
184.11349,6.4357872,0.001025026
161.585,0.710987,0.001025069
350.34434,1.0901754,0.001025082
164.26604,27.692288,0.00102514
5.4652643,24.371272,0.001025171
133.31818,3.762951,0.001025182
135.63523,20.191105,0.001025184
224.79539,52.135561,0.001025223
147.6935,-1.280925,0.001025246
178.32854,6.4755712,0.001025277
23.328486,-0.50379813,0.00102532
162.52206,48.091823,0.001025341
117.4107,20.583291,0.00102536
135.04939,11.113867,0.001025393
147.88557,-2.6097775,0.001025426
24.911408,22.091319,0.001025438
132.7553,25.514356,0.001025449
133.25195,5.3126667,0.001025456
141.31179,7.204607,0.001025483
146.77893,16.099335,0.001025501
11.474013,-6.9971124,0.001025556
244.08826,44.822128,0.001025556
159.37762,-1.6579509,0.001025588
20.503448,32.839336,0.001025598
9.01757609999999,-2.0943283,0.001025627
164.38397,-2.7327223,0.001025757
171.4826,-7.160732,0.001025834
234.8163,15.977094,0.001025882
134.33011,2.959882,0.00102589
144.73457,24.405124,0.001025909
113.34882,15.453712,0.001025942
55.163405,-6.492169,0.001025951
146.65591,-2.2097491,0.001025979
237.33026,23.559215,0.001025995
198.66413,-2.0264955,0.001026001
119.25782,10.617202,0.001026126
236.95842,61.866825,0.001026168
233.12034,28.095015,0.001026236
143.60661,22.519836,0.001026276
126.21141,40.148278,0.001026285
134.72176,13.596445,0.00102631
222.20553,0.49171,0.001026436
55.945247,-6.044189,0.001026463
194.76495,9.0713711,0.001026463
145.71757,57.855547,0.001026489
153.89738,18.839448,0.001026541
204.12067,22.366557,0.001026607
216.14222,53.161244,0.001026614
50.210392,-0.08984494,0.001026626
130.41484,25.804841,0.001026649
169.82248,10.343791,0.001026665
126.6231,9.8018905,0.0010267
320.44956,1.1896893,0.001026724
137.96697,-2.3077424,0.001026733
177.51372,-1.7622789,0.001026802
153.92509,47.222582,0.001026809
72.080128,-5.154839,0.001026822
121.25903,25.560694,0.00102684
146.87647,52.497369,0.00102686
201.59872,7.1179499,0.001026882
179.79719,9.141866,0.001026907
155.04065,37.678459,0.001026909
190.39295,42.820361,0.001026939
164.79268,50.640993,0.001026956
358.39863,27.533801,0.001026963
222.24978,0.849167,0.001026999
151.85698,54.24782,0.001027092
157.19622,7.904873,0.001027169
169.0203,-11.261044,0.001027186
141.19457,10.277147,0.001027195
144.19052,29.822347,0.001027203
139.17022,7.8517301,0.001027237
